Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Baldur's Gate 3,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co-Op, Multiplayer, Romance, Strategy, Singleplayer, Co-op Campaign, Class-Based, Dark Fantasy, Combat, Controller, Stealth",1.0,1.0,Baldur's Gate,"3 Aug, 2023",Larian Studios,Larian Studios,"English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Portuguese - Brazil, Italian, Spanish - Latin America, Traditional Chinese, Ukrainian, Korean, Japanese","(498,632)","(515,427)","(16,795)","990.000,00₫",-10%
Counter-Strike 2,"Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",1.0,1.0,,"21 Aug, 2012",Valve,Valve,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","(6,845,621)","(7,809,836)","(964,215)",Free,
Lethal Company,"Action, Adventure, Indie, Early Access","Online Co-Op, Horror, First-Person, Psychological Horror, Co-op, Exploration, Survival Horror, PvE, Sci-fi, Procedural Generation, Atmospheric, Time Management, Aliens, Dungeon Crawler, Adventure, Action, Action-Adventure, Perma Death, Realistic, Early Access",0.0,1.0,,"23 Oct, 2023",Zeekerss,Zeekerss,English,"(218,847)","(222,992)","(4,145)","142.000,00₫",
Cyberpunk 2077,RPG,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim",1.0,1.0,,"9 Dec, 2020",CD PROJEKT RED,CD PROJEKT RED,"English, French, Italian, German, Spanish - Spain, Arabic, Czech, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese, Turkish, Ukrainian","(564,519)","(697,970)","(133,451)","990.000,00₫",-50%
ELDEN RING,"Action, RPG","Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly",0.0,1.0,Bandai Namco Entertainment,"24 Feb, 2022",FromSoftware Inc.,FromSoftware Inc.,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese","(688,189)","(744,999)","(56,810)","898.000,00₫",-40%
Apex Legends™,"Action, Adventure, Free to Play","Free to Play, Battle Royale, Multiplayer, Shooter, FPS, First-Person, PvP, Action, Team-Based, Hero Shooter, Tactical, Sci-fi, Survival, Character Customization, Loot, Funny, Co-op, Lore-Rich, Cyberpunk, Horror",0.0,0.0,Apex Legends,"4 Nov, 2020",Respawn Entertainment,Electronic Arts,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Arabic","(613,541)","(773,739)","(160,198)",Free,
Dota 2,"Action, Strategy, Free to Play","Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",1.0,0.0,Dota,"9 Jul, 2013",Valve,Valve,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","(1,758,564)","(2,142,374)","(383,810)",Free,
Hogwarts Legacy,"Action, Adventure, RPG","Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action-Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly",1.0,0.0,WB Games,"10 Feb, 2023",Avalanche Software,Warner Bros. Games,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese","(225,796)","(245,819)","(20,023)","1.290.000,00₫",-50%
Dead by Daylight,Action,"Horror, Survival Horror, Multiplayer, Online Co-Op, Co-op, Survival, Gore, Team-Based, Stealth, Blood, Third Person, Violent, First-Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult",1.0,1.0,Dead by Daylight,"14 Jun, 2016",Behaviour Interactive Inc.,Behaviour Interactive Inc.,"English, French, Italian, German, Spanish - Spain, Russian, Simplified Chinese, Portuguese - Brazil, Thai, Traditional Chinese, Japanese, Korean, Polish, Spanish - Latin America, Turkish","(565,863)","(704,111)","(138,248)","230.000,00₫",-65%
Project Zomboid,"Indie, RPG, Simulation, Early Access","Survival, Zombies, Open World, Open World Survival Craft, Multiplayer, Sandbox, Post-apocalyptic, Co-op, Crafting, Indie, Building, Simulation, RPG, Survival Horror, Realistic, Isometric, Singleplayer, 2D, Adventure, Early Access",0.0,0.0,,"8 Nov, 2013",The Indie Stone,The Indie Stone,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Hungarian, Norwegian, Polish, Portuguese - Portugal, Russian, Turkish, Japanese, Simplified Chinese, Portuguese - Brazil, Finnish, Korean, Thai, Traditional Chinese, Ukrainian","(246,145)","(261,675)","(15,530)","260.000,00₫",-33%
