Title,withDLC,isMature,Developer,Publisher,PositiveReviews,TotalReviews,NegativeReviews,Price,ReleaseYear,ReleaseMonth,ReleaseDay,Genre__Action,Genre__Adventure,Genre__Animation & Modeling,Genre__Audio Production,Genre__Casual,Genre__Design & Illustration,Genre__Early Access,Genre__Education,Genre__Free to Play,Genre__Game Development,Genre__Indie,Genre__Massively Multiplayer,Genre__Photo Editing,Genre__RPG,Genre__Racing,Genre__Simulation,Genre__Software Training,Genre__Sports,Genre__Strategy,Genre__Utilities,Genre__Video Production,Genre__Web Publishing,Rating
Endless Monday: Dreams and Deadlines,0,0,2022,1581,737,737,0,142000.0,2023,5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9315144401773007
Papa's Freezeria Deluxe,0,0,592,470,6514,6562,48,87500.0,2023,3,31,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.9577303298582182
Cats Hidden in Jingle Jam,0,0,1819,1412,5097,5108,11,0.0,2023,12,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9597596586606207
An Arcade Full of Cats,1,0,439,359,3018,3045,27,0.0,2023,11,16,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.94723023477054
Ib,0,0,2036,1003,3068,3098,30,150000.0,2022,4,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9467135767277061
Lil Gator Game,0,0,1074,1048,3363,3395,32,260000.0,2022,12,14,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9481341495820539
星空列车与白的旅行,1,1,2076,1588,3056,3083,27,188000.0,2021,5,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9474933429093786
Patrick's Parabox,1,0,1289,1015,2800,2820,20,260000.0,2022,3,29,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9478166977019307
A Castle Full of Cats,1,0,439,359,2512,2526,14,36000.0,2022,11,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9477010483018109
Dialtown: Phone Dating Sim,1,1,464,375,1316,1324,8,115000.0,2022,2,14,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9372281810543082
Frog Detective 3: Corruption at Cowboy County,1,0,687,1618,1310,1318,8,73500.0,2022,10,26,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.937126278063378
A Date with Death,1,0,1841,1430,1166,1173,7,0.0,2023,12,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.9351896058524886
Smushi Come Home,1,0,1577,890,1090,1097,7,260000.0,2023,6,10,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.9336288969590616
Aokana - Four Rhythms Across the Blue - EXTRA2,0,1,2062,918,1274,1276,2,321000.0,2022,12,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9405497648847864
The Upturned,1,0,2001,1561,927,932,5,120000.0,2022,3,23,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9315014477113377
