Title,Genre,Tags,withDLC,isMature,Franchise,ReleaseDate,Developer,Publisher,Languages,PositiveReviews,TotalReviews,NegativeReviews,OriginalPrice,DiscountPercent
Endless Monday: Dreams and Deadlines,"['Adventure', 'Indie']","['Visual Novel', 'Choose Your Own Adventure', 'Interactive Fiction', 'Hand-drawn', 'Choices Matter', 'Multiple Endings', '2D', 'Adventure', 'Anime', 'Cute', 'Pixel Graphics', 'Comic Book', 'Comedy', 'Funny', 'Story Rich', 'Singleplayer', 'Indie', 'Short', 'Female Protagonist']",False,False,Endless Monday,"4 May, 2023",hcnone,hcnone,"['English', 'Japanese']",736,736,0.0,"142.000,00₫",
Senren＊Banka,"['Adventure', 'Casual']","['Visual Novel', 'NSFW', 'Casual', 'Dating Sim', 'Anime', 'Adventure', 'Cute', 'Romance', 'Multiple Endings', 'Story Rich', 'First-Person', 'Singleplayer', 'Great Soundtrack', 'Choices Matter', 'Third-Person Shooter', 'Action', 'Comedy', 'Family Friendly', 'Horror']",False,True,,"14 Feb, 2020",YUZUSOFT,HIKARI FIELD,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']","(17,141)","(17,291)",150.0,"280.000,00₫",
A Short Hike,"['Adventure', 'Indie']","['Exploration', 'Adventure', 'Relaxing', 'Cute', 'Indie', 'Pixel Graphics', 'Nature', 'Open World', 'Casual', 'Great Soundtrack', 'Singleplayer', 'Short', '3D Platformer', 'Family Friendly', 'Beautiful', 'Flight', 'Funny', 'Walking Simulator', 'Female Protagonist', 'Third Person']",False,False,,"30 Jul, 2019",adamgryu,adamgryu,"['English', 'French', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil']","(14,762)","(14,874)",112.0,"100.000,00₫",
Aseprite,"['Animation & Modeling', 'Design & Illustration', 'Game Development']","['Pixel Graphics', 'Design & Illustration', 'Animation & Modeling', 'Game Development', 'Software', '2D', 'Utilities']",False,False,,"22 Feb, 2016",David Capello,Igara Studio,['English'],"(15,556)","(15,684)",128.0,"188.000,00₫",
Cats Hidden in Paris,"['Casual', 'Indie', 'Free to Play']","['Cats', 'Hidden Object', 'Puzzle', 'Wholesome', 'Relaxing', 'Cozy', 'Cute', 'Free to Play', 'Casual', 'Hand-drawn', 'Minimalist', 'Cartoony', 'Indie', 'Singleplayer', 'Point & Click', 'Collectathon', 'Creature Collector', 'Exploration', 'Psychological Horror', 'Multiplayer']",True,False,Travellin Cats,"16 Jul, 2023",Travellin Cats,Travellin Cats,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Thai', 'Turkish', 'Traditional Chinese', 'Arabic', 'Indonesian', 'Spanish - Latin America']","(12,000)","(12,105)",105.0,Free,
Papa's Freezeria Deluxe,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']","['Cooking', 'Time Management', 'Simulation', 'Casual', 'Strategy', 'Job Simulator', 'Character Customization', 'Management', 'Indie', 'Singleplayer', '2D', 'Nostalgia', 'Classic', 'Cult Classic', 'Family Friendly', 'Psychological Horror', 'Cute', 'Colorful', 'Action', 'Funny']",False,False,Papa Louie,"31 Mar, 2023",Flipline Studios,Flipline Studios,['English'],"(6,507)","(6,555)",48.0,"87.500,00₫",
Cats Hidden in Jingle Jam,"['Casual', 'Indie', 'Free to Play']","['Free to Play', 'Cats', 'Hidden Object', 'Wholesome', 'Puzzle', 'Cozy', 'Cute', 'Casual', 'Relaxing', 'Cartoony', 'Hand-drawn', 'Minimalist', 'Collectathon', 'Creature Collector', 'Point & Click', 'Indie', 'Singleplayer', 'Exploration', 'Psychological Horror', 'Sexual Content']",False,False,Travellin Cats,"1 Dec, 2023",Travellin Cats,Travellin Cats,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Indonesian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese', 'Turkish']","(4,905)","(4,916)",11.0,Free,
TOEM,"['Adventure', 'Casual', 'Indie']","['Cozy', 'Wholesome', 'Adventure', 'Puzzle', 'Exploration', 'Cute', 'Relaxing', 'Casual', 'Photo Editing', 'Hand-drawn', 'Funny', 'Hidden Object', 'Family Friendly', 'Atmospheric', 'Singleplayer', 'Cartoon', 'Music', 'Soundtrack', 'Stylized', 'Nature']",True,False,,"17 Sep, 2021",Something We Made,Something We Made,"['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Russian', 'Korean', 'Portuguese - Brazil', 'Swedish', 'Traditional Chinese', 'Turkish']","(4,624)","(4,661)",37.0,"260.000,00₫",
An Arcade Full of Cats,"['Casual', 'Indie', 'Free to Play']","['Cats', 'Hidden Object', 'Relaxing', 'Wholesome', 'Puzzle', 'Arcade', 'Point & Click', 'Casual', 'Adventure', 'Minimalist', 'Cozy', 'Cute', 'Time Travel', 'Family Friendly', 'Collectathon', 'Hand-drawn', 'Mouse only', 'Creature Collector', 'Colorful', 'Singleplayer']",True,False,Devcats,"16 Nov, 2023",Devcats,Devcats,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish', 'Ukrainian']","(2,995)","(3,022)",27.0,Free,
Ib,"['Adventure', 'Indie']","['Horror', '2D', 'RPGMaker', 'Psychological Horror', 'Pixel Graphics', 'Female Protagonist', 'Cute', 'Singleplayer', 'Adventure', 'Anime', 'Atmospheric', 'Indie', 'Psychological', 'Dark Fantasy', 'Puzzle', 'Multiple Endings', 'Survival Horror', 'Survival', 'Great Soundtrack', 'Remake']",False,False,PLAYISM,"11 Apr, 2022",kouri,PLAYISM,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'French', 'Italian', 'German', 'Spanish - Spain', 'Thai', 'Portuguese - Brazil']","(3,066)","(3,096)",30.0,"150.000,00₫",
